contests,dist,weight,seed,ktd,mtrd,top1,top3p,top5p,top5_ktd
10,uniform,uniform,0,34,16.782344083206866,1,0.6666666666666666,0.8,5
10,uniform,uniform,1,24,25.58663814789864,1,0.6666666666666666,0.8,3
10,uniform,uniform,2,36,19.971758822494685,1,0.3333333333333333,0.6,5
10,uniform,uniform,3,30,14.736473560818919,1,1.0,1.0,1
10,uniform,uniform,4,40,11.517692718943762,1,0.3333333333333333,0.4,1
10,uniform,uniform,5,21,10.30916921194004,0,0.6666666666666666,0.8,2
10,uniform,uniform,6,38,17.761363315794984,1,0.6666666666666666,0.8,1
10,uniform,uniform,7,42,20.309075968982775,0,0.3333333333333333,0.4,7
10,uniform,uniform,8,32,28.697488808641523,0,0.3333333333333333,0.4,6
10,uniform,uniform,9,24,14.246150938796523,1,0.6666666666666666,0.8,4
10,uniform,uniform,10,33,15.42451464887144,1,0.6666666666666666,0.8,1
10,uniform,uniform,11,32,14.394202481776693,1,1.0,0.6,0
10,uniform,uniform,12,31,30.100961590973736,0,0.3333333333333333,0.6,6
10,uniform,uniform,13,22,9.434754069737542,0,0.6666666666666666,0.8,4
10,uniform,uniform,14,29,10.672787380506055,0,0.6666666666666666,0.8,2
10,uniform,uniform,15,32,16.17873939460913,0,0.3333333333333333,0.6,7
10,uniform,uniform,16,31,14.706104295197369,1,1.0,1.0,0
10,uniform,uniform,17,15,14.003420123821664,1,0.6666666666666666,0.8,3
10,uniform,uniform,18,37,21.329657369184243,0,0.6666666666666666,0.8,5
10,uniform,uniform,19,27,11.136123210793942,1,0.6666666666666666,0.8,3
10,uniform,uniform,20,31,10.853312629219733,1,1.0,0.8,0
10,uniform,uniform,21,21,14.826277713745904,0,0.3333333333333333,0.8,5
10,uniform,uniform,22,26,10.248773588954132,1,0.6666666666666666,0.8,4
10,uniform,uniform,23,28,12.171509704306683,0,0.6666666666666666,0.8,4
10,uniform,uniform,24,21,13.23249715878671,0,0.3333333333333333,0.8,5
10,uniform,uniform,25,36,24.586935877163867,1,0.6666666666666666,0.8,4
10,uniform,uniform,26,40,20.247888863586063,1,0.6666666666666666,0.6,1
10,uniform,uniform,27,25,9.25580540579094,0,0.6666666666666666,1.0,3
10,uniform,uniform,28,40,31.43594515817291,0,0.3333333333333333,0.6,7
10,uniform,uniform,29,44,19.699227602045433,0,0.3333333333333333,0.2,5
10,uniform,uniform,30,27,16.279533227637483,0,0.6666666666666666,0.6,6
10,uniform,uniform,31,31,8.37535013832693,1,0.6666666666666666,1.0,2
10,uniform,uniform,32,27,15.3946867525552,1,0.6666666666666666,0.6,3
10,uniform,uniform,33,23,10.516366765967701,1,1.0,0.8,0
10,uniform,uniform,34,22,24.130433037802472,0,0.6666666666666666,0.8,5
10,uniform,uniform,35,22,13.97215299587179,1,0.6666666666666666,0.6,2
10,uniform,uniform,36,26,17.594980650675385,0,0.6666666666666666,0.8,4
10,uniform,uniform,37,27,9.205264505398562,0,0.6666666666666666,0.8,5
10,uniform,uniform,38,24,13.338216220898957,0,0.6666666666666666,0.8,3
10,uniform,uniform,39,19,13.651175340176158,0,1.0,0.8,2
10,uniform,uniform,40,23,10.53595327983393,1,0.6666666666666666,1.0,3
10,uniform,uniform,41,15,10.179886439423944,1,0.6666666666666666,0.8,2
10,uniform,uniform,42,30,13.050900952190473,0,1.0,0.8,1
10,uniform,uniform,43,34,24.605965497310386,0,0.3333333333333333,0.4,5
10,uniform,uniform,44,33,23.6291572727787,0,0.6666666666666666,0.6,6
10,uniform,uniform,45,39,22.702143471963236,0,0.6666666666666666,0.6,1
10,uniform,uniform,46,33,18.589812907223322,0,0.6666666666666666,0.8,4
10,uniform,uniform,47,28,12.55609312090422,0,0.6666666666666666,0.6,5
